length,width,granulometry
4.144212523719165,7.88495575221239,coarse
4.223908918406072,5.893805309734513,coarse
5.339658444022771,8.283185840707965,coarse
6.216318785578748,5.575221238938053,coarse
6.375711574952562,12.026548672566372,coarse
7.332068311195446,5.893805309734513,coarse
5.658444022770398,7.725663716814159,coarse
4.223908918406072,8.20353982300885,coarse
8.368121442125238,7.725663716814159,coarse
3.586337760910816,6.929203539823009,coarse
3.8254269449715372,13.460176991150442,coarse
5.499051233396584,6.849557522123894,coarse
7.49146110056926,8.283185840707965,coarse
8.28842504743833,7.8053097345132745,coarse
8.049335863377609,8.442477876106194,coarse
10.838709677419356,4.460176991150442,coarse
6.774193548387097,3.9026548672566372,coarse
5.658444022770398,6.371681415929204,coarse
11.476280834914611,7.566371681415929,coarse
6.216318785578748,22.38053097345133,coarse
4.383301707779887,5.814159292035399,coarse
8.129032258064516,9.31858407079646,coarse
8.447817836812144,12.185840707964601,coarse
5.100569259962049,10.672566371681416,coarse
5.658444022770398,7.8053097345132745,coarse
8.607210626185958,10.11504424778761,coarse
7.013282732447818,9.557522123893806,coarse
5.339658444022771,5.176991150442478,coarse
7.810246679316888,5.654867256637168,coarse
4.303605313092979,6.132743362831858,coarse
4.622390891840607,14.017699115044248,coarse
5.977229601518027,5.415929203539823,coarse
5.100569259962049,7.964601769911504,coarse
8.846299810246679,10.274336283185841,coarse
5.419354838709678,5.734513274336283,coarse
5.8975332068311195,9.15929203539823,coarse
5.658444022770398,2.0707964601769913,coarse
7.6508538899430745,5.336283185840708,coarse
5.817836812144213,4.619469026548672,coarse
7.6508538899430745,10.91150442477876,coarse
5.738140417457306,7.247787610619469,coarse
5.977229601518027,7.486725663716815,coarse
4.303605313092979,7.964601769911504,coarse
7.332068311195446,9.31858407079646,coarse
7.6508538899430745,6.371681415929204,coarse
5.817836812144213,5.097345132743363,coarse
5.100569259962049,7.008849557522124,coarse
9.0853889943074,8.20353982300885,coarse
10.599620493358634,17.52212389380531,coarse
8.925996204933586,5.336283185840708,coarse
6.774193548387097,10.274336283185841,coarse
4.303605313092979,5.893805309734513,coarse
4.223908918406072,8.761061946902656,coarse
5.658444022770398,3.584070796460177,coarse
3.4269449715370017,7.88495575221239,coarse
4.861480075901328,8.442477876106194,coarse
2.2314990512333965,1.0353982300884956,coarse
4.5426944971537,4.539823008849558,coarse
1.3548387096774195,1.1150442477876106,coarse
0.7969639468690702,1.831858407079646,coarse
3.905123339658444,8.52212389380531,coarse
3.666034155597723,4.1415929203539825,coarse
6.136622390891841,4.460176991150442,coarse
3.586337760910816,9.079646017699115,coarse
5.8975332068311195,7.725663716814159,coarse
3.74573055028463,7.486725663716815,coarse
6.8538899430740035,5.814159292035399,coarse
4.861480075901328,9.79646017699115,coarse
4.861480075901328,5.814159292035399,coarse
8.686907020872866,6.451327433628319,coarse
6.375711574952562,4.8584070796460175,coarse
7.810246679316888,5.654867256637168,coarse
8.527514231499051,6.610619469026549,coarse
7.571157495256167,5.256637168141593,coarse
6.614800759013283,4.1415929203539825,coarse
1.8330170777988615,3.185840707964602,coarse
4.702087286527514,3.106194690265487,coarse
3.4269449715370017,9.238938053097344,coarse
6.375711574952562,8.442477876106194,coarse
7.810246679316888,5.575221238938053,coarse
5.738140417457306,6.849557522123894,coarse
5.578747628083492,6.929203539823009,coarse
5.8975332068311195,5.654867256637168,coarse
7.571157495256167,8.601769911504425,coarse
6.933586337760911,6.053097345132744,coarse
8.368121442125238,7.725663716814159,coarse
8.846299810246679,7.725663716814159,coarse
4.064516129032258,7.327433628318584,coarse
2.789373814041746,4.938053097345133,coarse
8.766603415559773,7.88495575221239,coarse
7.571157495256167,10.194690265486726,coarse
7.810246679316888,7.566371681415929,coarse
9.563567362428843,5.814159292035399,coarse
2.2314990512333965,7.088495575221239,coarse
9.404174573055029,5.575221238938053,coarse
4.702087286527514,6.212389380530974,coarse
2.1518026565464896,1.752212389380531,coarse
9.802656546489564,10.831858407079647,coarse
4.383301707779887,7.566371681415929,coarse
4.622390891840607,5.415929203539823,coarse
12.592030360531309,7.8053097345132745,coarse
4.303605313092979,10.353982300884956,coarse
5.817836812144213,6.053097345132744,coarse
7.571157495256167,8.123893805309734,coarse
6.933586337760911,5.575221238938053,coarse
14.98292220113852,9.238938053097344,coarse
5.100569259962049,5.734513274336283,coarse
3.905123339658444,4.619469026548672,coarse
8.208728652751423,7.327433628318584,coarse
4.303605313092979,4.778761061946903,coarse
4.702087286527514,8.442477876106194,coarse
4.144212523719165,5.097345132743363,coarse
8.28842504743833,9.079646017699115,coarse
5.020872865275142,5.654867256637168,coarse
3.905123339658444,5.256637168141593,coarse
9.244781783681214,7.725663716814159,coarse
2.4705882352941178,11.309734513274336,coarse
5.259962049335863,13.300884955752213,coarse
14.664136622390892,5.176991150442478,coarse
8.686907020872866,8.123893805309734,coarse
9.483870967741936,9.079646017699115,coarse
2.869070208728653,6.6902654867256635,coarse
5.020872865275142,6.769911504424779,coarse
8.766603415559773,3.504424778761062,coarse
11.795066413662239,11.70796460176991,coarse
4.702087286527514,7.168141592920354,coarse
5.578747628083492,7.247787610619469,coarse
8.049335863377609,15.29203539823009,coarse
4.781783681214422,6.6902654867256635,coarse
5.578747628083492,8.761061946902656,coarse
9.165085388994308,13.858407079646017,coarse
3.586337760910816,8.20353982300885,coarse
6.216318785578748,10.274336283185841,coarse
4.702087286527514,7.486725663716815,coarse
5.339658444022771,4.778761061946903,coarse
6.614800759013283,7.247787610619469,coarse
4.861480075901328,9.637168141592921,coarse
7.6508538899430745,11.469026548672566,coarse
3.905123339658444,9.079646017699115,coarse
4.702087286527514,5.495575221238938,coarse
2.9487666034155597,4.8584070796460175,coarse
3.666034155597723,4.300884955752212,coarse
3.347248576850095,14.336283185840708,coarse
6.455407969639468,6.530973451327434,coarse
4.861480075901328,5.415929203539823,coarse
4.9411764705882355,6.451327433628319,coarse
4.223908918406072,6.929203539823009,coarse
4.144212523719165,7.008849557522124,coarse
5.817836812144213,7.008849557522124,coarse
8.527514231499051,9.238938053097344,coarse
7.969639468690702,5.893805309734513,coarse
5.419354838709678,6.132743362831858,coarse
2.2314990512333965,8.601769911504425,coarse
7.013282732447818,6.530973451327434,coarse
9.0853889943074,4.1415929203539825,coarse
5.658444022770398,10.752212389380531,coarse
4.303605313092979,12.185840707964601,coarse
6.535104364326376,12.584070796460177,coarse
9.324478178368121,3.982300884955752,coarse
5.100569259962049,4.699115044247788,coarse
7.810246679316888,10.5929203539823,coarse
8.447817836812144,11.150442477876107,coarse
6.535104364326376,5.734513274336283,coarse
7.810246679316888,7.8053097345132745,coarse
6.136622390891841,5.893805309734513,coarse
12.432637571157496,5.336283185840708,coarse
2.2314990512333965,3.7433628318584073,coarse
7.332068311195446,9.31858407079646,coarse
7.889943074003795,6.053097345132744,coarse
5.817836812144213,6.849557522123894,coarse
1.1954459203036054,2.0707964601769913,coarse
5.738140417457306,3.504424778761062,coarse
5.578747628083492,7.486725663716815,coarse
5.259962049335863,6.929203539823009,coarse
5.100569259962049,6.451327433628319,coarse
7.571157495256167,3.8230088495575223,coarse
5.180265654648957,7.327433628318584,coarse
4.622390891840607,7.327433628318584,coarse
8.846299810246679,6.769911504424779,coarse
7.092979127134725,6.371681415929204,coarse
4.622390891840607,6.212389380530974,coarse
2.6299810246679316,5.814159292035399,coarse
12.432637571157496,9.557522123893806,coarse
5.339658444022771,6.849557522123894,coarse
3.8254269449715372,4.061946902654867,coarse
12.352941176470589,13.061946902654867,coarse
6.375711574952562,9.31858407079646,coarse
5.658444022770398,6.769911504424779,coarse
5.8975332068311195,10.831858407079647,coarse
4.781783681214422,6.769911504424779,coarse
6.216318785578748,5.256637168141593,coarse
5.578747628083492,8.761061946902656,coarse
6.8538899430740035,3.8230088495575223,coarse
7.252371916508539,5.256637168141593,coarse
8.28842504743833,14.097345132743364,coarse
3.0284629981024667,7.247787610619469,coarse
5.658444022770398,4.778761061946903,coarse
7.810246679316888,5.336283185840708,coarse
6.375711574952562,14.256637168141593,coarse
4.462998102466793,4.938053097345133,coarse
7.092979127134725,9.238938053097344,coarse
3.506641366223909,6.451327433628319,coarse
5.817836812144213,5.575221238938053,coarse
7.571157495256167,5.097345132743363,coarse
5.339658444022771,4.460176991150442,coarse
5.8975332068311195,5.176991150442478,coarse
5.020872865275142,5.336283185840708,coarse
5.738140417457306,6.371681415929204,coarse
6.614800759013283,5.176991150442478,coarse
5.738140417457306,3.106194690265487,coarse
4.144212523719165,6.769911504424779,coarse
4.383301707779887,6.371681415929204,coarse
6.136622390891841,10.035398230088497,coarse
4.702087286527514,5.256637168141593,coarse
6.535104364326376,5.893805309734513,coarse
3.74573055028463,9.0,coarse
5.100569259962049,13.539823008849558,coarse
5.977229601518027,6.451327433628319,coarse
3.347248576850095,15.053097345132743,coarse
4.064516129032258,4.1415929203539825,coarse
14.98292220113852,5.017699115044248,coarse
8.28842504743833,5.9734513274336285,coarse
6.8538899430740035,6.371681415929204,coarse
6.136622390891841,8.761061946902656,coarse
10.599620493358634,7.247787610619469,coarse
3.267552182163188,4.539823008849558,coarse
5.419354838709678,7.168141592920354,coarse
9.722960151802656,8.68141592920354,coarse
4.702087286527514,4.221238938053097,coarse
7.730550284629981,7.646017699115045,coarse
4.383301707779887,7.8053097345132745,coarse
4.5426944971537,5.415929203539823,coarse
5.578747628083492,5.017699115044248,coarse
6.136622390891841,5.097345132743363,coarse
5.259962049335863,4.380530973451328,coarse
3.666034155597723,7.88495575221239,coarse
7.013282732447818,4.938053097345133,coarse
9.324478178368121,13.938053097345133,coarse
3.506641366223909,4.380530973451328,coarse
5.339658444022771,6.769911504424779,coarse
5.817836812144213,8.761061946902656,coarse
3.586337760910816,7.486725663716815,coarse
8.607210626185958,11.070796460176991,coarse
9.802656546489564,6.610619469026549,coarse
7.730550284629981,5.415929203539823,coarse
5.180265654648957,7.964601769911504,coarse
2.0721062618595827,1.513274336283186,coarse
8.129032258064516,4.300884955752212,coarse
4.223908918406072,4.539823008849558,coarse
6.8538899430740035,7.88495575221239,coarse
4.9411764705882355,4.1415929203539825,coarse
3.8254269449715372,5.097345132743363,coarse
5.180265654648957,10.11504424778761,coarse
3.586337760910816,13.300884955752213,coarse
7.6508538899430745,6.769911504424779,coarse
7.092979127134725,7.646017699115045,coarse
7.49146110056926,6.212389380530974,coarse
5.578747628083492,5.017699115044248,coarse
6.2960151802656545,10.831858407079647,coarse
4.383301707779887,5.893805309734513,coarse
5.339658444022771,6.371681415929204,coarse
10.360531309297913,5.017699115044248,coarse
7.172675521821632,11.469026548672566,coarse
3.4269449715370017,0.9557522123893806,coarse
9.643263757115749,7.646017699115045,coarse
4.383301707779887,16.088495575221238,coarse
4.223908918406072,4.1415929203539825,coarse
3.4269449715370017,6.053097345132744,coarse
10.360531309297913,5.336283185840708,coarse
4.781783681214422,13.061946902654867,coarse
7.49146110056926,8.283185840707965,coarse
4.9411764705882355,8.044247787610619,coarse
8.208728652751423,7.725663716814159,coarse
6.933586337760911,9.79646017699115,coarse
3.905123339658444,5.654867256637168,coarse
4.702087286527514,6.212389380530974,coarse
5.339658444022771,5.893805309734513,coarse
6.056925996204933,5.176991150442478,coarse
3.347248576850095,4.061946902654867,coarse
3.506641366223909,4.061946902654867,coarse
18.489563567362428,13.380530973451327,coarse
4.861480075901328,6.6902654867256635,coarse
5.419354838709678,6.6902654867256635,coarse
5.8975332068311195,4.699115044247788,coarse
5.419354838709678,6.610619469026549,coarse
4.303605313092979,9.15929203539823,coarse
5.259962049335863,7.247787610619469,coarse
9.563567362428843,5.654867256637168,coarse
4.781783681214422,4.619469026548672,coarse
5.180265654648957,10.91150442477876,coarse
3.905123339658444,5.176991150442478,coarse
5.020872865275142,5.176991150442478,coarse
4.303605313092979,7.247787610619469,coarse
7.252371916508539,4.539823008849558,coarse
4.861480075901328,3.8230088495575223,coarse
3.984819734345351,11.469026548672566,coarse
3.666034155597723,5.9734513274336285,coarse
4.781783681214422,6.769911504424779,coarse
6.535104364326376,4.1415929203539825,coarse
6.375711574952562,4.8584070796460175,coarse
4.144212523719165,4.221238938053097,coarse
5.100569259962049,7.964601769911504,coarse
6.774193548387097,6.530973451327434,coarse
5.339658444022771,7.168141592920354,coarse
3.984819734345351,4.460176991150442,coarse
6.933586337760911,4.699115044247788,coarse
4.383301707779887,4.460176991150442,coarse
7.013282732447818,10.353982300884956,coarse
5.977229601518027,10.11504424778761,coarse
6.216318785578748,7.725663716814159,coarse
6.375711574952562,5.893805309734513,coarse
4.781783681214422,4.460176991150442,coarse
12.193548387096774,6.929203539823009,coarse
4.622390891840607,5.097345132743363,coarse
5.339658444022771,4.061946902654867,coarse
14.265654648956357,5.415929203539823,coarse
6.8538899430740035,3.9026548672566372,coarse
5.8975332068311195,5.256637168141593,coarse
5.817836812144213,6.769911504424779,coarse
5.180265654648957,4.380530973451328,coarse
3.8254269449715372,8.52212389380531,coarse
4.622390891840607,4.061946902654867,coarse
4.622390891840607,4.1415929203539825,coarse
5.658444022770398,5.256637168141593,coarse
4.5426944971537,4.778761061946903,coarse
5.738140417457306,7.646017699115045,coarse
5.977229601518027,5.575221238938053,coarse
7.411764705882353,5.893805309734513,coarse
4.622390891840607,3.106194690265487,coarse
7.969639468690702,6.530973451327434,coarse
5.100569259962049,13.300884955752213,coarse
8.28842504743833,10.353982300884956,coarse
5.817836812144213,5.9734513274336285,coarse
6.933586337760911,8.20353982300885,coarse
5.180265654648957,6.292035398230088,coarse
9.324478178368121,9.955752212389381,coarse
9.005692599620494,6.292035398230088,coarse
9.404174573055029,6.849557522123894,coarse
5.339658444022771,6.371681415929204,coarse
9.882352941176471,9.398230088495575,coarse
5.020872865275142,7.327433628318584,coarse
4.781783681214422,5.9734513274336285,coarse
4.144212523719165,7.964601769911504,coarse
4.702087286527514,5.9734513274336285,coarse
7.889943074003795,3.3451327433628317,coarse
7.092979127134725,4.938053097345133,coarse
4.781783681214422,5.097345132743363,coarse
8.686907020872866,2.8672566371681416,coarse
6.8538899430740035,5.814159292035399,coarse
3.905123339658444,22.938053097345133,coarse
4.781783681214422,4.221238938053097,coarse
8.129032258064516,3.7433628318584073,coarse
6.056925996204933,5.415929203539823,coarse
3.905123339658444,6.530973451327434,coarse
5.738140417457306,5.415929203539823,coarse
3.8254269449715372,4.8584070796460175,coarse
7.092979127134725,5.9734513274336285,coarse
5.738140417457306,3.106194690265487,coarse
3.108159392789374,6.6902654867256635,coarse
5.339658444022771,8.601769911504425,coarse
6.375711574952562,5.415929203539823,coarse
6.774193548387097,8.20353982300885,coarse
6.535104364326376,7.088495575221239,coarse
4.303605313092979,6.451327433628319,coarse
4.781783681214422,8.761061946902656,coarse
6.136622390891841,14.097345132743364,coarse
6.774193548387097,8.044247787610619,coarse
3.267552182163188,10.194690265486726,coarse
9.005692599620494,11.867256637168142,coarse
4.622390891840607,5.017699115044248,coarse
6.056925996204933,7.168141592920354,coarse
6.455407969639468,5.176991150442478,coarse
2.3111954459203035,9.0,coarse
12.352941176470589,3.3451327433628317,coarse
