length,width
0.4098360655737705,5.6557377049180335
0.49180327868852464,25.901639344262296
0.5737704918032788,6.39344262295082
0.7377049180327869,26.147540983606557
0.5737704918032788,5.983606557377049
0.5737704918032788,4.672131147540984
0.5737704918032788,3.3606557377049184
0.5737704918032788,12.540983606557377
0.9016393442622951,55.65573770491804
4.344262295081967,3.934426229508197
0.9016393442622951,1.4754098360655739
3.934426229508197,3.8524590163934427
2.0491803278688527,2.9508196721311477
7.2950819672131155,13.442622950819674
4.0983606557377055,5.245901639344263
7.540983606557377,9.426229508196721
4.016393442622951,4.59016393442623
5.245901639344263,6.229508196721312
4.344262295081967,4.0983606557377055
1.8032786885245902,6.557377049180328
7.704918032786885,2.8688524590163937
5.491803278688525,10.655737704918034
1.3114754098360657,2.6229508196721314
3.5245901639344264,4.836065573770492
2.459016393442623,2.459016393442623
5.081967213114754,4.0983606557377055
10.655737704918034,9.836065573770492
4.426229508196721,2.9508196721311477
1.557377049180328,1.4754098360655739
10.573770491803279,7.213114754098361
3.278688524590164,5.163934426229509
1.9672131147540985,0.9016393442622951
6.311475409836066,5.6557377049180335
2.7868852459016393,3.5245901639344264
2.8688524590163937,2.7868852459016393
7.540983606557377,6.557377049180328
7.78688524590164,4.426229508196721
3.4426229508196724,4.836065573770492
2.459016393442623,6.065573770491803
2.8688524590163937,2.7049180327868854
4.426229508196721,8.196721311475411
3.114754098360656,13.934426229508198
4.59016393442623,8.934426229508198
1.3934426229508197,1.3114754098360657
4.59016393442623,1.3114754098360657
4.672131147540984,6.229508196721312
3.0327868852459017,2.6229508196721314
3.3606557377049184,5.327868852459017
4.016393442622951,5.245901639344263
3.5245901639344264,6.475409836065574
4.0983606557377055,3.278688524590164
4.180327868852459,4.344262295081967
2.7868852459016393,4.344262295081967
5.573770491803279,7.704918032786885
2.2131147540983607,1.3114754098360657
5.245901639344263,5.7377049180327875
5.327868852459017,9.262295081967213
5.081967213114754,2.8688524590163937
1.557377049180328,1.0655737704918034
7.540983606557377,4.508196721311475
4.918032786885246,5.409836065573771
3.7704918032786887,3.7704918032786887
7.540983606557377,8.524590163934427
4.426229508196721,4.672131147540984
6.311475409836066,5.901639344262295
7.2950819672131155,4.016393442622951
2.7868852459016393,4.016393442622951
1.9672131147540985,2.377049180327869
4.59016393442623,4.918032786885246
5.8196721311475414,4.262295081967213
5.491803278688525,2.2131147540983607
3.934426229508197,4.262295081967213
4.426229508196721,5.573770491803279
2.540983606557377,1.2295081967213115
3.278688524590164,3.6065573770491803
3.7704918032786887,4.0983606557377055
3.3606557377049184,2.295081967213115
9.098360655737705,5.245901639344263
8.442622950819672,2.295081967213115
11.639344262295083,9.672131147540984
2.7868852459016393,2.8688524590163937
10.245901639344263,3.19672131147541
5.409836065573771,8.606557377049182
3.5245901639344264,4.016393442622951
5.245901639344263,5.409836065573771
1.3114754098360657,1.2295081967213115
5.409836065573771,4.836065573770492
6.229508196721312,7.131147540983607
6.229508196721312,2.7049180327868854
4.754098360655738,5.081967213114754
3.6065573770491803,5.6557377049180335
8.934426229508198,5.409836065573771
3.0327868852459017,3.4426229508196724
5.6557377049180335,5.7377049180327875
3.8524590163934427,5.081967213114754
3.19672131147541,4.180327868852459
1.1475409836065575,2.295081967213115
3.934426229508197,6.229508196721312
5.491803278688525,6.721311475409837
2.1311475409836067,1.639344262295082
3.8524590163934427,4.016393442622951
8.852459016393443,6.39344262295082
6.475409836065574,5.573770491803279
3.7704918032786887,2.9508196721311477
3.5245901639344264,3.19672131147541
0.9016393442622951,1.2295081967213115
4.016393442622951,5.327868852459017
3.934426229508197,4.918032786885246
1.4754098360655739,1.2295081967213115
11.39344262295082,2.7868852459016393
1.2295081967213115,1.2295081967213115
4.426229508196721,3.6065573770491803
4.262295081967213,5.8196721311475414
3.8524590163934427,5.245901639344263
11.639344262295083,3.8524590163934427
1.3934426229508197,2.377049180327869
2.540983606557377,7.78688524590164
3.6885245901639347,9.918032786885247
1.8852459016393444,7.049180327868853
7.4590163934426235,5.327868852459017
4.344262295081967,5.8196721311475414
9.262295081967213,2.7868852459016393
5.409836065573771,5.7377049180327875
2.1311475409836067,1.557377049180328
8.278688524590164,8.114754098360656
2.0491803278688527,2.540983606557377
2.377049180327869,2.1311475409836067
5.8196721311475414,5.901639344262295
7.950819672131148,8.852459016393443
6.803278688524591,7.540983606557377
1.8852459016393444,3.19672131147541
6.721311475409837,6.885245901639345
4.344262295081967,5.6557377049180335
4.180327868852459,4.754098360655738
7.622950819672131,9.836065573770492
1.1475409836065575,1.0655737704918034
3.4426229508196724,5.573770491803279
5.573770491803279,6.557377049180328
7.131147540983607,6.557377049180328
7.622950819672131,11.721311475409836
4.262295081967213,5.163934426229509
4.016393442622951,3.19672131147541
1.8032786885245902,2.377049180327869
5.7377049180327875,6.147540983606557
7.78688524590164,6.147540983606557
4.672131147540984,5.6557377049180335
8.524590163934427,6.311475409836066
4.0983606557377055,6.967213114754099
2.6229508196721314,2.459016393442623
6.229508196721312,4.918032786885246
8.934426229508198,2.8688524590163937
3.4426229508196724,4.262295081967213
2.295081967213115,2.0491803278688527
4.262295081967213,8.196721311475411
4.836065573770492,5.6557377049180335
3.278688524590164,7.868852459016394
3.6885245901639347,3.3606557377049184
3.7704918032786887,2.295081967213115
1.1475409836065575,2.9508196721311477
5.491803278688525,5.573770491803279
2.7049180327868854,6.229508196721312
3.278688524590164,5.163934426229509
6.311475409836066,3.5245901639344264
9.508196721311476,3.19672131147541
6.885245901639345,1.9672131147540985
1.0655737704918034,3.19672131147541
4.672131147540984,3.6065573770491803
3.934426229508197,6.967213114754099
6.065573770491803,10.98360655737705
2.377049180327869,2.9508196721311477
3.4426229508196724,7.4590163934426235
4.426229508196721,3.4426229508196724
3.114754098360656,3.4426229508196724
7.950819672131148,5.7377049180327875
5.901639344262295,3.4426229508196724
4.426229508196721,6.721311475409837
3.278688524590164,5.163934426229509
1.2295081967213115,1.639344262295082
1.557377049180328,1.8852459016393444
0.9836065573770493,1.639344262295082
6.39344262295082,12.295081967213115
5.163934426229509,3.3606557377049184
2.2131147540983607,4.918032786885246
5.573770491803279,5.245901639344263
4.426229508196721,9.262295081967213
6.39344262295082,2.7049180327868854
4.0983606557377055,5.409836065573771
8.114754098360656,5.8196721311475414
2.459016393442623,5.327868852459017
3.278688524590164,3.19672131147541
8.032786885245901,5.081967213114754
5.0,2.9508196721311477
1.9672131147540985,2.295081967213115
2.377049180327869,6.475409836065574
2.7049180327868854,2.540983606557377
8.852459016393443,8.934426229508198
5.409836065573771,4.754098360655738
0.9016393442622951,1.8032786885245902
7.704918032786885,11.721311475409836
6.065573770491803,3.278688524590164
9.098360655737705,5.081967213114754
4.262295081967213,3.934426229508197
7.213114754098361,4.672131147540984
5.245901639344263,5.901639344262295
1.0655737704918034,1.1475409836065575
5.327868852459017,3.278688524590164
5.901639344262295,3.3606557377049184
2.2131147540983607,2.295081967213115
1.557377049180328,5.0
3.3606557377049184,5.245901639344263
4.672131147540984,4.344262295081967
