length,width,granulometry
0.44715447154471544,0.564516129032258,extrafine
0.44715447154471544,1.6129032258064515,extrafine
0.6910569105691057,0.6854838709677419,extrafine
0.6910569105691057,0.7661290322580645,extrafine
0.6504065040650406,0.6854838709677419,extrafine
1.1382113821138211,1.6532258064516128,extrafine
1.2601626016260161,0.7258064516129032,extrafine
1.2601626016260161,0.8064516129032258,extrafine
1.0162601626016259,0.3629032258064516,extrafine
0.5691056910569106,0.8467741935483871,extrafine
0.7723577235772358,1.0483870967741935,extrafine
0.5284552845528455,0.5241935483870968,extrafine
0.6097560975609756,0.6451612903225806,extrafine
1.0162601626016259,0.48387096774193544,extrafine
0.7317073170731707,0.6451612903225806,extrafine
0.9349593495934959,1.4516129032258065,extrafine
0.6504065040650406,1.411290322580645,extrafine
0.7723577235772358,0.6451612903225806,extrafine
0.4878048780487805,0.6048387096774194,extrafine
1.5853658536585364,2.338709677419355,extrafine
0.975609756097561,0.8467741935483871,extrafine
0.5284552845528455,1.25,extrafine
2.5609756097560976,1.6129032258064515,extrafine
1.0162601626016259,0.8467741935483871,extrafine
0.5691056910569106,0.6854838709677419,extrafine
0.5691056910569106,0.6048387096774194,extrafine
1.5040650406504064,1.411290322580645,extrafine
0.6504065040650406,1.0483870967741935,extrafine
0.6910569105691057,0.8870967741935484,extrafine
1.0162601626016259,1.0483870967741935,extrafine
0.44715447154471544,0.564516129032258,extrafine
0.6504065040650406,0.6451612903225806,extrafine
0.7317073170731707,1.1693548387096775,extrafine
0.4878048780487805,0.564516129032258,extrafine
1.9105691056910568,1.8951612903225805,extrafine
0.4878048780487805,0.6451612903225806,extrafine
0.6910569105691057,0.6048387096774194,extrafine
0.44715447154471544,0.6048387096774194,extrafine
0.5284552845528455,0.5241935483870968,extrafine
0.5284552845528455,0.6048387096774194,extrafine
0.7723577235772358,1.0483870967741935,extrafine
1.097560975609756,1.0483870967741935,extrafine
0.7723577235772358,1.3709677419354838,extrafine
0.5284552845528455,0.8870967741935484,extrafine
1.3821138211382114,0.7258064516129032,extrafine
1.3008130081300813,1.0483870967741935,extrafine
0.4878048780487805,0.6854838709677419,extrafine
0.6504065040650406,1.6532258064516128,extrafine
0.6097560975609756,0.564516129032258,extrafine
0.7317073170731707,0.8467741935483871,extrafine
0.975609756097561,1.532258064516129,extrafine
1.056910569105691,1.8951612903225805,extrafine
0.6504065040650406,0.6048387096774194,extrafine
0.6910569105691057,0.4435483870967742,extrafine
0.6097560975609756,0.48387096774193544,extrafine
0.5691056910569106,0.9677419354838709,extrafine
1.056910569105691,0.8467741935483871,extrafine
0.6910569105691057,0.6048387096774194,extrafine
1.8699186991869918,0.9274193548387096,extrafine
0.8130081300813008,0.6854838709677419,extrafine
0.8536585365853658,0.7661290322580645,extrafine
0.7723577235772358,0.4032258064516129,extrafine
1.1382113821138211,0.9274193548387096,extrafine
0.6504065040650406,0.8467741935483871,extrafine
