length,width,granulometry
1.099476439790576,1.1937299035369775,extrafine
1.099476439790576,0.954983922829582,extrafine
1.3350785340314137,0.954983922829582,extrafine
1.1780104712041886,0.8754019292604501,extrafine
1.099476439790576,1.5120578778135048,extrafine
1.4136125654450262,1.432475884244373,extrafine
0.9424083769633509,1.1141479099678457,extrafine
1.492146596858639,0.954983922829582,extrafine
1.806282722513089,1.1937299035369775,extrafine
1.7277486910994766,0.954983922829582,extrafine
1.4136125654450262,1.5916398713826367,extrafine
1.0209424083769634,1.3528938906752412,extrafine
1.256544502617801,1.432475884244373,extrafine
1.3350785340314137,1.8303858520900322,extrafine
1.9633507853403143,2.387459807073955,extrafine
1.3350785340314137,1.3528938906752412,extrafine
1.0209424083769634,1.1937299035369775,extrafine
1.4136125654450262,0.7162379421221865,extrafine
1.256544502617801,1.2733118971061093,extrafine
1.0209424083769634,1.1937299035369775,extrafine
1.256544502617801,1.1937299035369775,extrafine
1.4136125654450262,0.954983922829582,extrafine
0.8638743455497383,1.5120578778135048,extrafine
1.5706806282722514,2.1487138263665595,extrafine
1.256544502617801,1.1937299035369775,extrafine
1.806282722513089,0.8754019292604501,extrafine
0.8638743455497383,1.1141479099678457,extrafine
1.1780104712041886,1.1937299035369775,extrafine
1.256544502617801,1.2733118971061093,extrafine
1.9633507853403143,2.467041800643087,extrafine
0.9424083769633509,1.2733118971061093,extrafine
1.649214659685864,1.2733118971061093,extrafine
1.256544502617801,1.1937299035369775,extrafine
1.099476439790576,1.0345659163987138,extrafine
0.9424083769633509,1.1937299035369775,extrafine
1.3350785340314137,1.7508038585209003,extrafine
1.256544502617801,1.1141479099678457,extrafine
1.1780104712041886,0.954983922829582,extrafine
1.1780104712041886,1.1937299035369775,extrafine
1.099476439790576,0.954983922829582,extrafine
1.256544502617801,0.954983922829582,extrafine
1.0209424083769634,1.0345659163987138,extrafine
1.806282722513089,1.3528938906752412,extrafine
1.099476439790576,1.1937299035369775,extrafine
2.198952879581152,0.8754019292604501,extrafine
1.8848167539267018,2.467041800643087,extrafine
1.3350785340314137,1.2733118971061093,extrafine
1.8848167539267018,0.7958199356913184,extrafine
1.3350785340314137,1.1141479099678457,extrafine
1.256544502617801,0.8754019292604501,extrafine
1.256544502617801,0.7162379421221865,extrafine
2.4345549738219896,1.6712218649517685,extrafine
1.3350785340314137,1.5120578778135048,extrafine
1.099476439790576,1.1141479099678457,extrafine
1.0209424083769634,1.6712218649517685,extrafine
1.7277486910994766,1.432475884244373,extrafine
1.1780104712041886,1.3528938906752412,extrafine
1.1780104712041886,1.1937299035369775,extrafine
1.9633507853403143,2.1487138263665595,extrafine
1.7277486910994766,1.432475884244373,extrafine
1.1780104712041886,1.432475884244373,extrafine
1.256544502617801,2.7057877813504825,extrafine
1.099476439790576,1.1937299035369775,extrafine
1.1780104712041886,1.5916398713826367,extrafine
1.0209424083769634,1.0345659163987138,extrafine
1.649214659685864,1.6712218649517685,extrafine
1.1780104712041886,1.1937299035369775,extrafine
1.1780104712041886,0.954983922829582,extrafine
1.4136125654450262,1.5120578778135048,extrafine
1.3350785340314137,0.954983922829582,extrafine
2.4345549738219896,0.7958199356913184,extrafine
2.1204188481675392,4.058681672025723,extrafine
0.8638743455497383,1.9895498392282958,extrafine
1.0209424083769634,1.0345659163987138,extrafine
1.256544502617801,1.5916398713826367,extrafine
1.3350785340314137,1.8303858520900322,extrafine
0.7853403141361257,2.1487138263665595,extrafine
1.8848167539267018,1.1937299035369775,extrafine
1.3350785340314137,1.1141479099678457,extrafine
1.4136125654450262,1.0345659163987138,extrafine
1.5706806282722514,1.2733118971061093,extrafine
1.9633507853403143,1.3528938906752412,extrafine
1.492146596858639,1.909967845659164,extrafine
1.1780104712041886,1.5916398713826367,extrafine
1.3350785340314137,1.0345659163987138,extrafine
1.256544502617801,0.8754019292604501,extrafine
1.492146596858639,1.432475884244373,extrafine
1.099476439790576,0.954983922829582,extrafine
1.806282722513089,1.2733118971061093,extrafine
1.256544502617801,0.954983922829582,extrafine
1.649214659685864,1.1141479099678457,extrafine
0.9424083769633509,1.1141479099678457,extrafine
1.099476439790576,1.1141479099678457,extrafine
